AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1013,NGC4517,10,"('187.27792', '2.05222')","(188.18996, 0.11503)",0.020265292198257828,0.01650564204838613,193.17590350324986,187.84981235018572,364.90414805709315,x,1420.4,1128.0,115.0,9.765,x,32.8,4.1,82.7,x,71.8,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
3C273.0,1013,SDSSJ122815.96+014944.1,10,"('187.27792', '2.05222')","(187.0665, 1.82892)",0.005990914618277066,6.211781054760266e-84,41.24838512685209,6.547900426854397,90.56332768928978,x,1198.4,904.0,-109.0,16.87858892,x,3.5,1.8,59.3,40.0,3.4,0,x,x,x,x,x,0.003015
3C273.0,1013,CGCG014-054,10,"('187.27792', '2.05222')","(187.7659, 1.6757)",0.00011125909578962764,1.528181552632678e-43,71.06873748016558,21.366632865287876,211.92369673574294,x,1399.2,1105.0,92.0,19.70682874,x,7.7,4.4,55.2,80.0,47.7,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
3C273.0,1013,NGC4457,10,"('187.27792', '2.05222')","(187.24588, 3.57058)",2.0903726260217205e-08,5.388066983185428e-30,111.03220407372962,56.36065116728159,461.2090303562866,x,1178.0,882.0,-131.0,17.4,x,14.7,10.0,47.2,75.0,76.2,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,(R)SAB(s)0/a   LINER,0.002942
3C273.0,1013,NGC4600,10,"('187.27792', '2.05222')","(190.09566, 3.11775)",8.836002808638026e-34,0.0,44.44619413241409,7.701882886671284,386.0965789038743,x,1147.1,852.0,-161.0,7.3499999,x,3.9,2.2,55.9,65.0,4.3,NGC4600,.L.....,48.6,60.0,"S0(6),N","S0(6),N",0.002842
3C273.0,1013,VCC1457,10,"('187.27792', '2.05222')","(188.21062, 2.7973)",4.805441778913587e-37,0.0,42.860693087198044,7.117092102818398,391.90309229687824,x,1336.2,1041.0,28.0,18.82010179,x,3.7,2.2,53.1,2.0,49.4,0,x,x,x,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1013,VCC1465,10,"('187.27792', '2.05222')","(188.23154, 3.36042)",1.8480018001575769e-38,0.0,44.44619413241409,7.701882886671284,409.624438413251,x,1029.7,734.0,-279.0,14.50322845,x,3.9,3.6,24.5,x,x,VCC1465,.I?....,24.2,-99,I?,I?,0.002448
3C273.0,1013,VCC1492,10,"('187.27792', '2.05222')","(188.32596, 2.04644)",8.329445560868989e-45,0.0,25.061655495164096,2.2165288177689004,248.84281399904634,x,966.5,672.0,-341.0,13.61260154,x,1.7,1.2,46.4,153.0,62.7,0,x,x,x,dE2?,dE2?,0.002241
3C273.0,1013,UMaDwarf,10,"('187.27792', '2.05222')","(158.72, 51.92)",-99,-99,-99,-99,97.44702904547687,x,1313.0,1101.0,88.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
3C273.0,1013,SDSSJ122745.86+013601.8,10,"('187.27792', '2.05222')","(186.9429, 1.60015)",-99,-99,-99,-99,219.3531221320334,x,1586.1,1292.0,279.0,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
