AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SBS1503+570,NGC5907,x,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.05947113991028792,294.72108578615985,452.0909183533267,x,843.0,-137.0,16.3,x,60.5,6.6,83.7,x,83.2,83.2,NGC5907,.SAS5*/,83.7,155.0,SA(s)c: sp     HII:,0.002225
SBS1503+570,NGC5866,x,"('226.23150', '56.82230')","(226.62291, 55.76321)",0.010204171727233017,137.7860593590339,276.9067086902926,x,853.8,-147.79999999999995,14.675,x,20.1,8.1,66.2,x,63.4,63.4,NGC5866,.LA.+./,65.4,128.0,S0_3       HII/LINER,0.002242
SBS1503+570,NGC5879,x,"('226.23150', '56.82230')","(227.44469, 57.00019)",0.005452961171685361,99.82875987900265,192.90874619968034,x,949.1,-243.10000000000002,16.117,x,12.6,5.5,63.9,5.0,80.0,80.0,NGC5879,.SAT4*$,71.1,0.0,SA(rs)bc:?     LINER,0.002575
SBS1503+570,NGC5866B,x,"('226.23150', '56.82230')","(228.03012, 55.78508)",8.365690685302901e-11,97.63112263186666,444.60045766908064,x,1020.1,-314.1,17.700001,x,12.2,8.7,44.8,20.0,23.5,23.5,NGC5866B,.SXT8*.,44.9,20.0,SAB(rs)dm:,0.002805
SBS1503+570,NGC5866A,x,"('226.23150', '56.82230')","(226.31672, 55.82782)",7.864980057541493e-17,30.873950736811498,187.76817662321992,x,767.2,-61.200000000000045,10.80585077,x,2.3,2.2,14.1,106.0,76.7,76.7,0,x,x,x,x,0.00195
SBS1503+570,NGC5826,x,"('226.23150', '56.82230')","(226.641, 55.47911)",3.252617930494234e-17,56.34433476966049,336.7580748405479,x,1005.5,-299.5,14.16223961,x,5.5,4.2,40.5,25.0,15.5,15.5,0,x,x,x,S0?,0.002746
SBS1503+570,SBS1510+571B,x,"('226.23150', '56.82230')","(228.05221, 57.00172)",2.183743654761159e-25,27.060759693886542,203.34204923963208,x,819.0,-113.0,11.53523114,x,1.9,1.2,51.7,145.0,44.8,44.8,0,x,x,x,Spiral,0.002146
SBS1503+570,UGC09776,x,"('226.23150', '56.82230')","(228.28155, 56.96864)",1.101688966072393e-26,45.22945909746485,342.90876531648547,x,1008.7,-302.70000000000005,17.4,x,4.0,1.5,68.0,x,x,x,0,x,x,x,Im,0.002779
SBS1503+570,KUG1516+568,x,"('226.23150', '56.82230')","(229.35492, 56.66353)",4.645211004779961e-43,41.24838512685209,403.982213720878,x,955.4,-249.39999999999998,13.45675564,x,3.5,2.4,45.6,80.0,4.7,4.7,0,x,x,x,Spiral,0.002605
SBS1503+570,KUG1513+566,x,"('226.23150', '56.82230')","(228.70055, 56.45443)",1.196794039058094e-185,14.898141370053176,307.12173345379176,x,888.2,-182.20000000000005,12.50973159,x,0.8,0.7,14.1,40.0,34.8,34.8,0,x,x,x,Spiral,0.002375
SBS1503+570,SBS1511+583,x,"('226.23150', '56.82230')","(228.1827, 58.17656)",1.8100037299704962e-214,12.215868886348156,270.9783855976516,x,643.7,62.299999999999955,9.066242091,x,0.6,0.5,34.9,69.0,72.7,72.7,0,x,x,x,x,0.001572
SBS1503+570,UGC05470,x,"('226.23150', '56.82230')","(152.11708, 12.30639)",0.0,10.771825341804764,300.0945943033798,x,534.3,171.70000000000005,0.242,x,0.5,0.4,40.5,80.0,59.1,59.1,LeoI,dE.3...,40.7,80.0,E;dSph,0.000951
SBS1503+570,MCG+10-21-039,x,"('226.23150', '56.82230')","(224.12924, 59.59466)",0.0,12.215868886348156,468.5604356547285,x,638.6,67.39999999999998,8.993724436,x,0.6,0.6,0.0,90.0,67.5,67.5,0,x,x,x,x,0.001544
SBS1503+570,CXOJ150946.7+565947,x,"('226.23150', '56.82230')","(227.44473, 56.99641)",-99,-99,130.8330431808018,x,777.1,-71.10000000000002,10.94538212,x,x,x,x,x,75.3,75.3,NGC5879,.SAT4*$,71.1,0.0,ELG,0.002
SBS1503+570,CXOJ150945.8+570100,x,"('226.23150', '56.82230')","(227.44105, 57.01676)",-99,-99,182.05068257579646,x,1076.1,-370.0999999999999,15.15599585,x,x,x,x,x,x,x,0,x,x,x,ELG,0.003
