AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1582,NGC4517,12,"('187.27792', '2.05222')","(188.18996, 0.11503)",0.0146827109953,0.0119587504398,193.175903503,187.84981235,364.904148057,x,1420.4,-161.6,9.765,x,32.8,4.1,82.7,x,71.8,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
3C273.0,1582,SDSSJ122815.96+014944.1,12,"('187.27792', '2.05222')","(187.0665, 1.82892)",0.000203629134321,2.11136308789e-85,41.2483851269,6.54790042685,90.5633276893,x,1198.4,-383.6,16.87858892,x,3.5,1.8,59.3,40.0,3.4,0,x,x,x,x,x,0.003015
3C273.0,1582,UGC07612,12,"('187.27792', '2.05222')","(187.25892, 2.72319)",0.000191162138729,1.9300655061e-12,111.552827735,56.9367368225,284.096551543,x,1870.2,288.2,24.25,x,14.8,7.8,58.4,x,33.4,UGC7612,.S..9*.,57.5,145.0,Sm:            HII,Sm:            HII,0.005254
3C273.0,1582,CGCG014-054,12,"('187.27792', '2.05222')","(187.7659, 1.6757)",5.96244471836e-05,8.18962077888e-44,71.0687374802,21.3666328653,211.923696736,x,1399.2,-182.8,19.70682874,x,7.7,4.4,55.2,80.0,47.7,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
3C273.0,1582,NGC4409,12,"('187.27792', '2.05222')","(186.74375, 2.49436)",5.72084473734e-05,1.93889346703e-17,92.6028016004,37.9854840696,223.184451571,x,1980.0,398.0,18.45,x,11.3,5.0,63.9,10.0,60.4,NGC4420,.SBR4*.,61.4,8.0,SB(r)bc:;HII   LINER,SB(r)bc:;HII   LINER,0.005621
3C273.0,1582,UGC07512,12,"('187.27792', '2.05222')","(186.42223, 2.15898)",1.68980607152e-07,6.02210592038e-105,59.8307384072,14.6969384567,227.109867128,x,1799.7,217.7,15.1,x,6.0,2.7,63.3,130.0,32.9,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
3C273.0,1582,UGC07642,12,"('187.27792', '2.05222')","(187.55731, 2.62471)",1.3187735028e-09,2.14692557029e-82,72.3373663529,22.2044815296,302.042968469,x,1929.1,347.1,27.17085655,x,7.9,6.3,36.9,x,76.0,UGC7642,.IBS9..,37.4,130.0,SdmIII-IV      HII,SdmIII-IV      HII,0.005451
3C273.0,1582,VCC1060,12,"('187.27792', '2.05222')","(187.01527, 2.90991)",6.902084145e-13,6.16292437881e-114,75.4662391256,24.3455129336,392.334554267,x,1779.4,197.4,25.06223439,x,8.4,1.3,81.4,x,x,VCC1060,.S?....,81.1,-99,S?             HII,S?             HII,0.004951
3C273.0,1582,VCC1457,12,"('187.27792', '2.05222')","(188.21062, 2.7973)",1.08210474188e-37,0.0,42.8606930872,7.11709210282,391.903092297,x,1336.2,-245.8,18.82010179,x,3.7,2.2,53.1,2.0,49.4,0,x,x,x,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1582,2dFGRSN389Z231,12,"('187.27792', '2.05222')","(188.19354, 1.56867)",2.82094308384e-56,0.0,41.2483851269,6.54790042685,463.848442076,x,1823.0,241.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
3C273.0,1582,SDSSJ122658.42+022923.3,12,"('187.27792', '2.05222')","(186.74342, 2.48981)",1.44388056009e-75,0.0,25.0616554952,2.21652881777,326.22204262,x,1922.0,340.0,27.07084759,x,1.7,1.6,16.3,148.0,18.7,NGC4420,.SBR4*.,61.4,8.0,x,x,0.005426
3C273.0,1582,SDSSJ122745.86+013601.8,12,"('187.27792', '2.05222')","(186.9429, 1.60015)",-99,-99,-99,-99,219.353122132,x,1586.1,4.1,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
