Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
NGC4235,12:17:09.9,+07:11:29.7,2000.0

Beginning of Night,East Track Start (NGC4235),East Track End (NGC4235),East Track Length (NGC4235),West Track Start (NGC4235),West Track End (NGC4235),West Track Length (NGC4235),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,20:25:22,23:02:41,9438,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,20:21:26,22:58:45,9438,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,20:17:31,22:54:49,9438,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,20:13:35,22:50:53,9438,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,20:09:39,22:46:57,9438,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,20:05:43,22:43:01,9438,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,20:01:47,22:39:05,9438,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,19:57:51,22:35:09,9438,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,19:53:55,22:31:14,9438,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,19:49:59,22:27:18,9438,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,19:46:03,22:23:22,9438,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,19:42:07,22:19:26,9438,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,19:38:11,22:15:30,9438,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,19:34:16,22:11:34,9438,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,19:30:20,22:07:38,9438,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,19:26:24,22:03:42,9438,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,19:22:28,21:59:46,9438,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,19:18:32,21:55:50,9438,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,19:14:36,21:51:54,9438,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,19:10:40,21:47:59,9438,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,19:06:44,21:44:03,9438,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,19:02:48,21:40:07,9438,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,18:58:52,21:36:11,9438,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,18:54:56,21:32:15,9438,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,18:51:01,21:28:19,9438,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,18:47:05,21:24:23,9438,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,18:43:09,21:20:27,9438,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,18:39:13,21:16:31,9438,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,18:35:17,21:12:35,9438,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,18:31:21,21:08:40,9438,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,18:27:25,21:04:44,9438,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,18:23:29,21:00:48,9438,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,18:19:33,20:56:52,9438,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,18:15:37,20:52:56,9438,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,18:11:41,20:49:00,9438,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,18:07:46,20:45:04,9438,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,18:03:50,20:41:08,9438,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,17:59:54,20:37:12,9438,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,17:55:58,20:33:16,9438,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,17:52:02,20:29:20,9438,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,17:48:06,20:25:25,9438,n/a,n/a,0,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,17:44:10,20:21:29,9438,n/a,n/a,0,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,17:40:14,20:17:33,9438,n/a,n/a,0,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,17:36:18,20:13:37,9438,n/a,n/a,0,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,17:32:22,20:09:41,9438,n/a,n/a,0,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,17:28:26,20:05:45,9438,n/a,n/a,0,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,17:24:31,20:01:49,9438,n/a,n/a,0,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,17:20:35,19:57:53,9438,n/a,n/a,0,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,17:16:39,19:53:57,9438,n/a,n/a,0,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,17:12:43,19:50:01,9438,n/a,n/a,0,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,17:08:47,19:46:05,9438,n/a,n/a,0,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,17:04:51,19:42:09,9438,n/a,n/a,0,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,17:00:55,19:38:14,9438,n/a,n/a,0,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,16:56:59,19:34:18,9438,n/a,n/a,0,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,16:53:03,19:30:22,9438,n/a,n/a,0,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,16:49:07,19:26:26,9438,n/a,n/a,0,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,16:45:11,19:22:30,9438,n/a,n/a,0,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,16:41:16,19:18:34,9438,n/a,n/a,0,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,16:37:20,19:14:38,9438,n/a,n/a,0,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,16:33:24,19:10:42,9438,n/a,n/a,0,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,16:29:28,19:06:46,9438,n/a,n/a,0,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,16:25:32,19:02:50,9438,n/a,n/a,0,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,16:21:36,18:58:54,9438,n/a,n/a,0,09:46,20:18,27.5,15:38,17:05,04:06,05:34
2016-06-10,16:17:40,18:54:59,9438,n/a,n/a,0,10:22,21:16,37.0,15:38,17:05,04:07,05:34
2016-06-11,16:13:44,18:51:03,9438,n/a,n/a,0,10:56,22:11,46.8,15:38,17:05,04:07,05:35
2016-06-12,16:09:48,18:47:07,9438,n/a,n/a,0,11:29,23:05,56.5,15:38,17:05,04:07,05:35
2016-06-13,16:05:52,18:43:11,9438,n/a,n/a,0,n/a,23:58,65.8,15:38,17:05,04:08,05:35
2016-06-14,16:01:56,18:39:15,9438,n/a,n/a,0,12:01,00:50,74.4,15:38,17:05,04:08,05:36
2016-06-15,15:58:01,18:35:19,9438,n/a,n/a,0,12:34,01:43,82.1,15:38,17:06,04:08,05:36
2016-06-16,15:54:05,18:31:23,9438,n/a,n/a,0,13:09,02:36,88.8,15:38,17:06,04:09,05:36
2016-06-17,15:50:09,18:27:27,9438,n/a,n/a,0,13:46,03:29,94.0,15:38,17:06,04:09,05:37
2016-06-18,15:46:13,18:23:31,9438,n/a,n/a,0,14:27,04:22,97.7,15:38,17:06,04:09,05:37
2016-06-19,15:42:17,18:19:35,9438,n/a,n/a,0,15:11,05:15,99.6,15:38,17:06,04:09,05:37
2016-06-20,15:39:07,18:15:39,9392,n/a,n/a,0,15:59,06:06,99.5,15:39,17:06,04:10,05:37
2016-06-21,15:39:20,18:11:44,9143,n/a,n/a,0,16:52,06:54,97.4,15:39,17:07,04:10,05:38
2016-06-22,15:39:35,18:07:48,8892,n/a,n/a,0,17:48,07:40,93.2,15:39,17:07,04:10,05:38
2016-06-23,15:39:51,18:03:52,8640,n/a,n/a,0,18:46,08:23,87.0,15:39,17:07,04:10,05:38
