AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1537+577,3549,SDSSJ153802.75+573018.3,3,"('234.541666667', '57.6036111111')","(234.5115, 57.50508)",0.33289053471227614,0.0005471677345769594,86.86757243034273,33.0564214639153,90.50673832769371,x,3687.3,3525.0,-24.0,51.93368351,x,10.3,1.9,79.6,24.0,14.7,0,x,x,x,Sd(f),Sd(f),0.011759
SBS1537+577,3549,SBS1540+576,3,"('234.541666667', '57.6036111111')","(235.29007, 57.53141)",4.169671434647346e-17,2.6539871869450662e-229,63.897713172478895,16.95570700383797,388.7298103762206,x,3877.6,3717.0,168.0,54.61470227,x,6.6,4.9,42.3,36.0,64.2,0,x,x,x,x,x,0.012399
SBS1537+577,3549,SDSSJ153742.05+570506.4,3,"('234.541666667', '57.6036111111')","(234.42522, 57.08514)",1.0363854504608287e-21,1.1035703663542404e-264,67.19984334193845,18.918535884153403,466.34245209514387,x,3632.4,3469.0,-80.0,51.16078188,x,7.1,5.5,38.7,152.0,34.9,0,x,x,x,x,x,0.011572
