AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1122+594,1597,IC0691,x,"('171.47375', '59.17278')","(171.68465, 59.15543)",0.469797279018442,0.0007320755155733357,65.88793137593471,18.124817240457904,45.288412639304354,x,1399.4,197.5999999999999,23.700001,x,6.9,5.1,42.3,155.0,74.1,IC691,.I?....,48.6,150.0,I?;WR?         HII,I?;WR?         HII,0.003992
SBS1122+594,1597,SDSSJ112625.96+591737.4,x,"('171.47375', '59.17278')","(171.6082, 59.29375)",0.1691780106590287,1.4224274474543459e-31,40.43155575527607,6.269290230959163,52.80998576210131,x,1543.8,53.200000000000045,21.74407849,x,3.4,2.4,44.8,128.0,22.3,0,x,x,x,x,x,0.004476
SBS1122+594,1597,NGC3642,x,"('171.47375', '59.17278')","(170.57455, 59.07451)",0.040200498502052005,0.004921385942928549,149.85037753949183,108.15305358611008,226.44844624328968,x,1789.9,-192.9000000000001,27.5,x,22.7,22.5,8.1,75.0,27.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,1597,NGC3610,x,"('171.47375', '59.17278')","(169.6053, 58.78628)",3.794692560990934e-07,3.0087630805810357e-14,138.25869232048996,90.7877084191467,486.74868045056655,x,1906.2,-309.20000000000005,26.88,x,20.2,14.6,43.9,135.0,23.0,NGC3610,.E.5.*.,31.7,-99,SB(r)0^0^ pec,SB(r)0^0^ pec,0.005684
SBS1122+594,1597,SDSSJ112235.67+585840.5,x,"('171.47375', '59.17278')","(170.64866, 58.97794)",1.562206310232533e-07,6.994923883834019e-240,42.860693087198044,7.117092102818398,166.9368934938275,x,1455.3,141.70000000000005,20.49709727,x,3.7,1.9,59.3,161.0,46.3,0,x,x,x,x,x,0.004181
SBS1122+594,1597,SDSSJ112725.46+583820.0,x,"('171.47375', '59.17278')","(171.85612, 58.63889)",1.5040573320205483e-09,1.2513960574833277e-273,45.22945909746485,8.0,200.43219567537062,x,1432.4,164.5999999999999,20.17420515,x,4.0,1.2,72.5,143.0,57.2,0,x,x,x,x,x,0.004096
SBS1122+594,1597,CGCG291-076,x,"('171.47375', '59.17278')","(172.57199, 58.13391)",1.1063808046834225e-20,1.9529702378060725e-216,71.70431245139727,21.784214468279547,485.4366884333684,x,1665.7,-68.70000000000005,23.46005658,x,7.8,6.9,27.1,x,x,0,x,x,x,SA(s)m:,SA(s)m:,0.004867
SBS1122+594,1597,SDSSJ112150.23+585638.7,x,"('171.47375', '59.17278')","(170.45933, 58.9441)",3.2896981685380213e-21,0.0,39.60724351420745,5.994747701113033,265.46894612515916,x,1896.3,-299.29999999999995,26.7081168,x,3.3,3.1,19.9,54.0,59.7,0,x,x,x,x,x,0.005651
SBS1122+594,1597,SDSSJ113005.21+582818.0,x,"('171.47375', '59.17278')","(172.52175, 58.47169)",4.863896460068408e-22,0.0,53.483943519540084,11.517421586448938,373.37886868967286,x,1713.4,-116.40000000000009,24.13263796,x,5.1,1.1,77.9,88.0,50.5,0,x,x,x,x,x,0.005031
SBS1122+594,1597,MCG+10-17-017,x,"('171.47375', '59.17278')","(173.82558, 58.88854)",2.124739662929541e-31,0.0,46.00667649591621,8.3018672598398,377.59976959190413,x,1235.7,361.29999999999995,17.40449196,x,4.1,2.2,56.6,35.0,41.7,0,x,x,x,x,x,0.00344
SBS1122+594,1597,SBS1119+586,x,"('171.47375', '59.17278')","(170.65738, 58.32853)",2.0480317812458146e-43,0.0,42.058010542046325,6.8305197459636995,415.0468741546902,x,1787.6,-190.5999999999999,25.17779297,x,3.6,2.0,57.3,18.0,44.4,0,x,x,x,x,x,0.00528
SBS1122+594,1597,SDSSJ112149.19+585434.0,x,"('171.47375', '59.17278')","(170.45496, 58.90944)",4.0669089796493894e-50,0.0,22.988094234022373,1.8371173070873836,244.87373160910388,x,1698.4,-101.40000000000009,23.92109126,x,1.5,1.2,35.9,147.0,30.2,0,x,x,x,x,x,0.004991
