AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1537+577,3279,NGC5987,3,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.10169102734394302,0.788751572818183,322.0594317999893,570.6668660435788,454.1827315456914,x,3170.0,-109.0,48.9,x,68.8,29.6,64.5,60.0,33.3,NGC5987,.S..3..,71.6,165.0,Sb,Sb,0.01004
SBS1537+577,3279,2MASXJ15351422+5730529,3,"('234.54167', '57.60361')","(233.80909, 57.51479)",1.5647945958674406e-08,2.9666530232326264e-74,76.08500241592442,24.781545553092528,322.4366596637551,x,3255.7,-23.300000000000182,45.85473395,x,8.5,4.2,60.1,50.0,27.2,0,x,x,x,HII,HII,0.010315
SBS1537+577,3279,SDSSJ153742.05+570506.4,3,"('234.54167', '57.60361')","(234.42522, 57.08514)",5.359034439192066e-23,5.7172893337626354e-266,67.19984334193845,18.918535884153403,466.3416604704871,x,3632.4,353.4000000000001,51.16078188,x,7.1,5.5,38.7,152.0,34.9,0,x,x,x,x,x,0.011572
