AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,2156,NGC4536,4,"('187.27792', '2.05222')","(188.61271, 2.18814)",0.0018018847760880852,0.001787226311704442,197.62313832387832,197.37836507581068,358.527920644852,x,2102.6,1808.0,-348.0,15.321,x,33.9,14.3,65.1,x,45.8,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031
3C273.0,2156,SDSSJ122950.58+020153.7,4,"('187.27792', '2.05222')","(187.46075, 2.03158)",9.454291269453965e-05,9.633801018500817e-120,38.77514986628247,5.7243340223994625,94.17837939649793,x,2083.6,1789.0,-367.0,29.34599276,x,3.2,1.8,56.5,x,x,0,x,x,x,x,x,0.005966
3C273.0,2156,2MASXJ12281585+0242025,4,"('187.27792', '2.05222')","(187.06619, 2.70083)",1.2588486387476994e-12,4.409576097363322e-90,83.34364623140944,30.210478314651024,432.89241508509673,x,2581.2,2286.0,130.0,36.35528125,x,9.7,5.5,55.9,40.0,58.1,0,x,x,x,x,x,0.007626
3C273.0,2156,2dFGRSN388Z025,4,"('187.27792', '2.05222')","(187.99558, 1.84364)",5.521971410446499e-117,0.0,29.941368737561735,3.263127334322092,488.8519864485751,x,2662.3,2368.0,212.0,37.49764516,x,2.2,1.7,36.9,x,x,0,x,x,x,x,x,0.0079
